Subject Label,Subject URI,Predicate Label,Predicate URI,Predicate Symmetry,Object Label,Object URI,Context
 Stankovic A.M.,http://lab3sdm/Stankovic A.M.,writes,writes,Assymetric,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,http://lab3sdm/Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,
 Saric A.T.,http://lab3sdm/Saric A.T.,writes,writes,Assymetric,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,http://lab3sdm/Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,
 Transtrum M.K.,http://lab3sdm/Transtrum M.K.,writes,writes,Assymetric,Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,http://lab3sdm/Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,
Heath D.,http://lab3sdm/Heath D.,writes,writes,Assymetric,Semantic style creation,http://lab3sdm/Semantic style creation,
 Ventura D.,http://lab3sdm/Ventura D.,writes,writes,Assymetric,Semantic style creation,http://lab3sdm/Semantic style creation,
Jensen T.D.,http://lab3sdm/Jensen T.D.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
 Bresciano K.A.,http://lab3sdm/Bresciano K.A.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
 Dallon E.,http://lab3sdm/Dallon E.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
 Fujimoto M.S.,http://lab3sdm/Fujimoto M.S.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
 Lyman C.A.,http://lab3sdm/Lyman C.A.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
 Stewart E.,http://lab3sdm/Stewart E.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
 Griffitts J.,http://lab3sdm/Griffitts J.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
 Clement M.J.,http://lab3sdm/Clement M.J.,writes,writes,Assymetric,The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,http://lab3sdm/The PepSeq Pipeline: Software for Antimicrobial Motif Discovery in Randomly-Generated Peptide Libraries,
Lyman C.A.,http://lab3sdm/Lyman C.A.,writes,writes,Assymetric,Feedback regulation of immune response to maximum exercise in Gulf war illness,http://lab3sdm/Feedback regulation of immune response to maximum exercise in Gulf war illness,
 Clement M.,http://lab3sdm/Clement M.,writes,writes,Assymetric,Feedback regulation of immune response to maximum exercise in Gulf war illness,http://lab3sdm/Feedback regulation of immune response to maximum exercise in Gulf war illness,
 Craddock T.J.A.,http://lab3sdm/Craddock T.J.A.,writes,writes,Assymetric,Feedback regulation of immune response to maximum exercise in Gulf war illness,http://lab3sdm/Feedback regulation of immune response to maximum exercise in Gulf war illness,
 Fletcher M.,http://lab3sdm/Fletcher M.,writes,writes,Assymetric,Feedback regulation of immune response to maximum exercise in Gulf war illness,http://lab3sdm/Feedback regulation of immune response to maximum exercise in Gulf war illness,
 Klimas N.G.,http://lab3sdm/Klimas N.G.,writes,writes,Assymetric,Feedback regulation of immune response to maximum exercise in Gulf war illness,http://lab3sdm/Feedback regulation of immune response to maximum exercise in Gulf war illness,
 Broderick G.,http://lab3sdm/Broderick G.,writes,writes,Assymetric,Feedback regulation of immune response to maximum exercise in Gulf war illness,http://lab3sdm/Feedback regulation of immune response to maximum exercise in Gulf war illness,
Adams J.A.,http://lab3sdm/Adams J.A.,writes,writes,Assymetric,Swarm Transparency,http://lab3sdm/Swarm Transparency,
 Chen J.Y.C.,http://lab3sdm/Chen J.Y.C.,writes,writes,Assymetric,Swarm Transparency,http://lab3sdm/Swarm Transparency,
 Goodrich M.A.,http://lab3sdm/Goodrich M.A.,writes,writes,Assymetric,Swarm Transparency,http://lab3sdm/Swarm Transparency,
McDonald S.J.,http://lab3sdm/McDonald S.J.,writes,writes,Assymetric,Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,http://lab3sdm/Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,
 Colton M.B.,http://lab3sdm/Colton M.B.,writes,writes,Assymetric,Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,http://lab3sdm/Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,
 Alder C.K.,http://lab3sdm/Alder C.K.,writes,writes,Assymetric,Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,http://lab3sdm/Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,
 Goodrich M.A.,http://lab3sdm/Goodrich M.A.,writes,writes,Assymetric,Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,http://lab3sdm/Haptic Shape-Based Management of Robot Teams in Cordon and Patrol,
Shaikh M.T.,http://lab3sdm/Shaikh M.T.,writes,writes,Assymetric,Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems,http://lab3sdm/Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems,
 Goodrich M.A.,http://lab3sdm/Goodrich M.A.,writes,writes,Assymetric,Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems,http://lab3sdm/Design and Evaluation of Adverb Palette: A GUI for Selecting Tradeoffs in Multi-objective Optimization Problems,
Fulda N.,http://lab3sdm/Fulda N.,writes,writes,Assymetric,Rethinking Our Assumptions About Language Model Evaluation,http://lab3sdm/Rethinking Our Assumptions About Language Model Evaluation,
Gautam A.,http://lab3sdm/Gautam A.,writes,writes,Assymetric,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,http://lab3sdm/Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,
 Crandall J.W.,http://lab3sdm/Crandall J.W.,writes,writes,Assymetric,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,http://lab3sdm/Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,
 Goodrich M.A.,http://lab3sdm/Goodrich M.A.,writes,writes,Assymetric,Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,http://lab3sdm/Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,
Pearce W.,http://lab3sdm/Pearce W.,writes,writes,Assymetric,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,http://lab3sdm/Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,
 Landers N.,http://lab3sdm/Landers N.,writes,writes,Assymetric,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,http://lab3sdm/Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,
 Fulda N.,http://lab3sdm/Fulda N.,writes,writes,Assymetric,Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,http://lab3sdm/Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,
Skaggs P.,http://lab3sdm/Skaggs P.,writes,writes,Assymetric,"Designer Thinking, A Unique Combination of Cognitive Modes","http://lab3sdm/Designer Thinking, A Unique Combination of Cognitive Modes",
Soderquist D.R.,http://lab3sdm/Soderquist D.R.,writes,writes,Assymetric,Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,http://lab3sdm/Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,
 Gorrell S.E.,http://lab3sdm/Gorrell S.E.,writes,writes,Assymetric,Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,http://lab3sdm/Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,
 Custer C.H.,http://lab3sdm/Custer C.H.,writes,writes,Assymetric,Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,http://lab3sdm/Analysis of distortion transfer and generation through a compressor using the harmonic balance approach,
Unrau M.A.,http://lab3sdm/Unrau M.A.,writes,writes,Assymetric,Mixing plane simulation of a high-performance fan using kestrel,http://lab3sdm/Mixing plane simulation of a high-performance fan using kestrel,
 Gorrell S.E.,http://lab3sdm/Gorrell S.E.,writes,writes,Assymetric,Mixing plane simulation of a high-performance fan using kestrel,http://lab3sdm/Mixing plane simulation of a high-performance fan using kestrel,
Duffield M.O.,http://lab3sdm/Duffield M.O.,writes,writes,Assymetric,"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace","http://lab3sdm/A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace",
 McLain T.W.,http://lab3sdm/McLain T.W.,writes,writes,Assymetric,"A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace","http://lab3sdm/A well clear recommendation for small UAS in high-density, ADS-B-enabled airspace",
McClelland H.G.,http://lab3sdm/McClelland H.G.,writes,writes,Assymetric,Small aircraft flight encounters database for UAS sense and avoid,http://lab3sdm/Small aircraft flight encounters database for UAS sense and avoid,
 Kang C.K.,http://lab3sdm/Kang C.K.,writes,writes,Assymetric,Small aircraft flight encounters database for UAS sense and avoid,http://lab3sdm/Small aircraft flight encounters database for UAS sense and avoid,
 Woolsey C.A.,http://lab3sdm/Woolsey C.A.,writes,writes,Assymetric,Small aircraft flight encounters database for UAS sense and avoid,http://lab3sdm/Small aircraft flight encounters database for UAS sense and avoid,
 Roberts A.K.,http://lab3sdm/Roberts A.K.,writes,writes,Assymetric,Small aircraft flight encounters database for UAS sense and avoid,http://lab3sdm/Small aircraft flight encounters database for UAS sense and avoid,
 Buck D.,http://lab3sdm/Buck D.,writes,writes,Assymetric,Small aircraft flight encounters database for UAS sense and avoid,http://lab3sdm/Small aircraft flight encounters database for UAS sense and avoid,
 Cheney T.,http://lab3sdm/Cheney T.,writes,writes,Assymetric,Small aircraft flight encounters database for UAS sense and avoid,http://lab3sdm/Small aircraft flight encounters database for UAS sense and avoid,
 Warnick K.F.,http://lab3sdm/Warnick K.F.,writes,writes,Assymetric,Small aircraft flight encounters database for UAS sense and avoid,http://lab3sdm/Small aircraft flight encounters database for UAS sense and avoid,
Neilsen T.B.,http://lab3sdm/Neilsen T.B.,writes,writes,Assymetric,Three-way spectral decompositions of high-performance military aircraft noise,http://lab3sdm/Three-way spectral decompositions of high-performance military aircraft noise,
 Vaughn A.B.,http://lab3sdm/Vaughn A.B.,writes,writes,Assymetric,Three-way spectral decompositions of high-performance military aircraft noise,http://lab3sdm/Three-way spectral decompositions of high-performance military aircraft noise,
 Gee K.L.,http://lab3sdm/Gee K.L.,writes,writes,Assymetric,Three-way spectral decompositions of high-performance military aircraft noise,http://lab3sdm/Three-way spectral decompositions of high-performance military aircraft noise,
 Swift S.H.,http://lab3sdm/Swift S.H.,writes,writes,Assymetric,Three-way spectral decompositions of high-performance military aircraft noise,http://lab3sdm/Three-way spectral decompositions of high-performance military aircraft noise,
 Wall A.T.,http://lab3sdm/Wall A.T.,writes,writes,Assymetric,Three-way spectral decompositions of high-performance military aircraft noise,http://lab3sdm/Three-way spectral decompositions of high-performance military aircraft noise,
 Downing J.M.,http://lab3sdm/Downing J.M.,writes,writes,Assymetric,Three-way spectral decompositions of high-performance military aircraft noise,http://lab3sdm/Three-way spectral decompositions of high-performance military aircraft noise,
 James M.M.,http://lab3sdm/James M.M.,writes,writes,Assymetric,Three-way spectral decompositions of high-performance military aircraft noise,http://lab3sdm/Three-way spectral decompositions of high-performance military aircraft noise,
Roy S.,http://lab3sdm/Roy S.,writes,writes,Assymetric,A modeling framework for assessing cyber disruptions and attacks to the national airspace system,http://lab3sdm/A modeling framework for assessing cyber disruptions and attacks to the national airspace system,
 Hahn A.,http://lab3sdm/Hahn A.,writes,writes,Assymetric,A modeling framework for assessing cyber disruptions and attacks to the national airspace system,http://lab3sdm/A modeling framework for assessing cyber disruptions and attacks to the national airspace system,
 Xue M.,http://lab3sdm/Xue M.,writes,writes,Assymetric,A modeling framework for assessing cyber disruptions and attacks to the national airspace system,http://lab3sdm/A modeling framework for assessing cyber disruptions and attacks to the national airspace system,
 Tamini A.,http://lab3sdm/Tamini A.,writes,writes,Assymetric,A modeling framework for assessing cyber disruptions and attacks to the national airspace system,http://lab3sdm/A modeling framework for assessing cyber disruptions and attacks to the national airspace system,
 Vosughi A.,http://lab3sdm/Vosughi A.,writes,writes,Assymetric,A modeling framework for assessing cyber disruptions and attacks to the national airspace system,http://lab3sdm/A modeling framework for assessing cyber disruptions and attacks to the national airspace system,
 Das S.K.,http://lab3sdm/Das S.K.,writes,writes,Assymetric,A modeling framework for assessing cyber disruptions and attacks to the national airspace system,http://lab3sdm/A modeling framework for assessing cyber disruptions and attacks to the national airspace system,
 Warnick S.,http://lab3sdm/Warnick S.,writes,writes,Assymetric,A modeling framework for assessing cyber disruptions and attacks to the national airspace system,http://lab3sdm/A modeling framework for assessing cyber disruptions and attacks to the national airspace system,
Baker N.F.,http://lab3sdm/Baker N.F.,writes,writes,Assymetric,Best practices for wake model and optimization algorithm selection in wind farm layout optimization,http://lab3sdm/Best practices for wake model and optimization algorithm selection in wind farm layout optimization,
 Stanley A.P.J.,http://lab3sdm/Stanley A.P.J.,writes,writes,Assymetric,Best practices for wake model and optimization algorithm selection in wind farm layout optimization,http://lab3sdm/Best practices for wake model and optimization algorithm selection in wind farm layout optimization,
 Thomas J.J.,http://lab3sdm/Thomas J.J.,writes,writes,Assymetric,Best practices for wake model and optimization algorithm selection in wind farm layout optimization,http://lab3sdm/Best practices for wake model and optimization algorithm selection in wind farm layout optimization,
 Ning A.,http://lab3sdm/Ning A.,writes,writes,Assymetric,Best practices for wake model and optimization algorithm selection in wind farm layout optimization,http://lab3sdm/Best practices for wake model and optimization algorithm selection in wind farm layout optimization,
 Dykes K.,http://lab3sdm/Dykes K.,writes,writes,Assymetric,Best practices for wake model and optimization algorithm selection in wind farm layout optimization,http://lab3sdm/Best practices for wake model and optimization algorithm selection in wind farm layout optimization,
Gates N.S.,http://lab3sdm/Gates N.S.,writes,writes,Assymetric,"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft","http://lab3sdm/Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",
 Moore K.R.,http://lab3sdm/Moore K.R.,writes,writes,Assymetric,"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft","http://lab3sdm/Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",
 Ning A.,http://lab3sdm/Ning A.,writes,writes,Assymetric,"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft","http://lab3sdm/Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",
 Hedengren J.D.,http://lab3sdm/Hedengren J.D.,writes,writes,Assymetric,"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft","http://lab3sdm/Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",
Newcomb J.E.,http://lab3sdm/Newcomb J.E.,writes,writes,Assymetric,The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,http://lab3sdm/The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,
 Ning A.,http://lab3sdm/Ning A.,writes,writes,Assymetric,The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,http://lab3sdm/The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,
Pehrson N.A.,http://lab3sdm/Pehrson N.A.,writes,writes,Assymetric,"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft","http://lab3sdm/Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",
 Smith S.P.,http://lab3sdm/Smith S.P.,writes,writes,Assymetric,"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft","http://lab3sdm/Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",
 Ames D.C.,http://lab3sdm/Ames D.C.,writes,writes,Assymetric,"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft","http://lab3sdm/Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",
 Magleby S.P.,http://lab3sdm/Magleby S.P.,writes,writes,Assymetric,"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft","http://lab3sdm/Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",
 Arya M.,http://lab3sdm/Arya M.,writes,writes,Assymetric,"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft","http://lab3sdm/Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",
Thomas J.J.,http://lab3sdm/Thomas J.J.,writes,writes,Assymetric,Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,http://lab3sdm/Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,
 Annoni J.,http://lab3sdm/Annoni J.,writes,writes,Assymetric,Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,http://lab3sdm/Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,
 Fleming P.,http://lab3sdm/Fleming P.,writes,writes,Assymetric,Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,http://lab3sdm/Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,
 Ning A.,http://lab3sdm/Ning A.,writes,writes,Assymetric,Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,http://lab3sdm/Comparison of wind farm layout optimization results using a simple wake model and gradient-based optimization to large-eddy simulations,
Unrau M.A.,http://lab3sdm/Unrau M.A.,writes,writes,Assymetric,Simulating stall inception in a high-performance fan using createt m-av kestrel,http://lab3sdm/Simulating stall inception in a high-performance fan using createt m-av kestrel,
 Gorrell S.E.,http://lab3sdm/Gorrell S.E.,writes,writes,Assymetric,Simulating stall inception in a high-performance fan using createt m-av kestrel,http://lab3sdm/Simulating stall inception in a high-performance fan using createt m-av kestrel,
Orme A.D.,http://lab3sdm/Orme A.D.,writes,writes,Assymetric,Analysis of distortion phase shift in a highly loaded fan stage,http://lab3sdm/Analysis of distortion phase shift in a highly loaded fan stage,
 Soderquist D.R.,http://lab3sdm/Soderquist D.R.,writes,writes,Assymetric,Analysis of distortion phase shift in a highly loaded fan stage,http://lab3sdm/Analysis of distortion phase shift in a highly loaded fan stage,
 Gorrell S.E.,http://lab3sdm/Gorrell S.E.,writes,writes,Assymetric,Analysis of distortion phase shift in a highly loaded fan stage,http://lab3sdm/Analysis of distortion phase shift in a highly loaded fan stage,
Pehrson N.A.,http://lab3sdm/Pehrson N.A.,writes,writes,Assymetric,"Design and analysis of self-deployable, self-stiffening, and retractable arrays","http://lab3sdm/Design and analysis of self-deployable, self-stiffening, and retractable arrays",
 Ames D.C.,http://lab3sdm/Ames D.C.,writes,writes,Assymetric,"Design and analysis of self-deployable, self-stiffening, and retractable arrays","http://lab3sdm/Design and analysis of self-deployable, self-stiffening, and retractable arrays",
 Magleby S.P.,http://lab3sdm/Magleby S.P.,writes,writes,Assymetric,"Design and analysis of self-deployable, self-stiffening, and retractable arrays","http://lab3sdm/Design and analysis of self-deployable, self-stiffening, and retractable arrays",
 Ignaut B.,http://lab3sdm/Ignaut B.,writes,writes,Assymetric,"Design and analysis of self-deployable, self-stiffening, and retractable arrays","http://lab3sdm/Design and analysis of self-deployable, self-stiffening, and retractable arrays",
Gonzalez-Juez E.D.,http://lab3sdm/Gonzalez-Juez E.D.,writes,writes,Assymetric,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,http://lab3sdm/Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,
 Dasgupta A.,http://lab3sdm/Dasgupta A.,writes,writes,Assymetric,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,http://lab3sdm/Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,
 Arshad S.,http://lab3sdm/Arshad S.,writes,writes,Assymetric,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,http://lab3sdm/Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,
 Oevermann M.,http://lab3sdm/Oevermann M.,writes,writes,Assymetric,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,http://lab3sdm/Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,
 Lignell D.,http://lab3sdm/Lignell D.,writes,writes,Assymetric,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,http://lab3sdm/Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition,
Butler J.,http://lab3sdm/Butler J.,writes,writes,Assymetric,Highly compressible origami bellows for microgravity drilling-debris containment,http://lab3sdm/Highly compressible origami bellows for microgravity drilling-debris containment,
 Magleby S.,http://lab3sdm/Magleby S.,writes,writes,Assymetric,Highly compressible origami bellows for microgravity drilling-debris containment,http://lab3sdm/Highly compressible origami bellows for microgravity drilling-debris containment,
 Howell L.,http://lab3sdm/Howell L.,writes,writes,Assymetric,Highly compressible origami bellows for microgravity drilling-debris containment,http://lab3sdm/Highly compressible origami bellows for microgravity drilling-debris containment,
 Mancini S.,http://lab3sdm/Mancini S.,writes,writes,Assymetric,Highly compressible origami bellows for microgravity drilling-debris containment,http://lab3sdm/Highly compressible origami bellows for microgravity drilling-debris containment,
 Parness A.,http://lab3sdm/Parness A.,writes,writes,Assymetric,Highly compressible origami bellows for microgravity drilling-debris containment,http://lab3sdm/Highly compressible origami bellows for microgravity drilling-debris containment,
Pehrson N.A.,http://lab3sdm/Pehrson N.A.,writes,writes,Assymetric,Folding approaches for tensioned precision planar shell structures,http://lab3sdm/Folding approaches for tensioned precision planar shell structures,
 Banik J.A.,http://lab3sdm/Banik J.A.,writes,writes,Assymetric,Folding approaches for tensioned precision planar shell structures,http://lab3sdm/Folding approaches for tensioned precision planar shell structures,
Hwang J.T.,http://lab3sdm/Hwang J.T.,writes,writes,Assymetric,Large-scale multidisciplinary optimization of an electric aircraft for on-demand mobility,http://lab3sdm/Large-scale multidisciplinary optimization of an electric aircraft for on-demand mobility,
 Ning A.,http://lab3sdm/Ning A.,writes,writes,Assymetric,Large-scale multidisciplinary optimization of an electric aircraft for on-demand mobility,http://lab3sdm/Large-scale multidisciplinary optimization of an electric aircraft for on-demand mobility,
McDonnell T.,http://lab3sdm/McDonnell T.,writes,writes,Assymetric,Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,http://lab3sdm/Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,
 Mehr J.,http://lab3sdm/Mehr J.,writes,writes,Assymetric,Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,http://lab3sdm/Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,
 Ning A.,http://lab3sdm/Ning A.,writes,writes,Assymetric,Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,http://lab3sdm/Multidisciplinary design optimization of flexible solar-regenerative high-altitude long-endurance aircraft,
Moore K.R.,http://lab3sdm/Moore K.R.,writes,writes,Assymetric,Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization,http://lab3sdm/Distributed electric propulsion effects on traditional aircraft through multidisciplinary optimization,
